user_id,project_id,interaction_type,weight,timestamp
user_3139,keeta,view,1,2025-03-20T14:16:50.059846
user_1499,kaspa,portfolio_add,1,2025-03-20T21:57:42.698865
user_888,bridged-tether-opbnb,favorite,1,2025-03-21T21:19:46.620789
user_888,polygon-hermez-bridged-usdt-x-layer,view,1,2025-03-22T00:21:07.620789
user_888,chainlink,portfolio_add,1,2025-03-22T02:52:05.620789
user_1499,algorand,favorite,1,2025-03-22T14:55:59.698865
user_1499,vechain,view,1,2025-03-22T15:45:28.698865
user_2153,waves,favorite,1,2025-03-22T16:28:29.741884
user_1499,bugscoin,favorite,1,2025-03-22T22:52:40.698865
user_1499,vechain,view,1,2025-03-23T06:08:54.698865
user_367,rif-token,view,1,2025-03-23T16:52:03.647444
user_3690,tron,favorite,1,2025-03-25T10:51:21.575589
user_2153,the-sandbox,view,1,2025-03-26T20:53:51.741884
user_1499,ondo-finance,portfolio_add,1,2025-03-27T18:23:17.698865
user_3690,aave,portfolio_add,1,2025-03-28T15:15:05.575589
user_3690,ecomi,view,1,2025-03-28T15:28:17.575589
user_1685,xion-2,view,1,2025-03-28T17:32:25.669064
user_1685,internet-computer,favorite,1,2025-03-28T18:12:34.669064
user_1844,hydradx,view,1,2025-03-28T18:42:05.388605
user_1844,avalanche-2,favorite,1,2025-03-28T19:49:04.388605
user_1844,bridged-usd-coin-optimism,view,1,2025-03-28T19:51:02.388605
user_3690,sweth,favorite,1,2025-03-28T22:06:09.575589
user_3690,tron,portfolio_add,1,2025-03-28T22:38:16.575589
user_3690,vechain,view,1,2025-03-28T23:49:46.575589
user_1844,cronos-bridged-usdt-cronos,favorite,1,2025-03-30T02:24:25.388605
user_26,popcat,portfolio_add,1,2025-03-30T09:11:52.024257
user_1844,algorand,view,1,2025-03-30T11:08:46.388605
user_212,non-playable-coin,view,1,2025-03-30T15:58:57.380290
user_367,nem,view,1,2025-03-31T05:14:25.647444
user_361,waves,favorite,1,2025-03-31T10:28:07.168101
user_3690,waves,view,1,2025-03-31T10:39:51.575589
user_361,vechain,portfolio_add,1,2025-03-31T10:54:45.168101
user_212,arweave,favorite,1,2025-03-31T11:25:20.380290
user_212,bakerytoken,favorite,1,2025-03-31T11:27:24.380290
user_361,pepe,portfolio_add,1,2025-03-31T13:09:10.168101
user_367,anime,view,1,2025-03-31T13:12:15.647444
user_212,bridged-usdc-polygon-pos-bridge,portfolio_add,1,2025-03-31T14:12:53.380290
user_660,internet-computer,favorite,1,2025-03-31T17:05:31.146652
user_3139,decentraland,favorite,1,2025-03-31T20:13:39.059846
user_3139,internet-computer,view,1,2025-03-31T20:17:36.059846
user_3139,notcoin,view,1,2025-03-31T23:01:45.059846
user_107,dao-maker,portfolio_add,1,2025-03-31T23:24:39.920203
user_1608,algorand,favorite,1,2025-04-01T02:09:10.971043
user_660,notcoin,portfolio_add,1,2025-04-01T10:24:26.146652
user_107,altlayer,favorite,1,2025-04-01T20:40:18.920203
user_1349,the-open-network,view,1,2025-04-02T01:47:43.167896
user_660,algorand,portfolio_add,1,2025-04-02T14:40:53.146652
user_1349,avalanche-2,view,1,2025-04-02T15:35:40.167896
user_888,polygon-hermez-bridged-usdt-x-layer,favorite,1,2025-04-02T21:11:00.620789
user_888,near,favorite,1,2025-04-02T21:57:55.620789
user_2120,cardano,favorite,1,2025-04-02T22:07:05.708521
user_361,solana,favorite,1,2025-04-03T04:32:42.168101
user_1608,stronghold-token,view,1,2025-04-03T05:44:06.971043
user_3496,avalanche-2,view,1,2025-04-03T17:52:07.098713
user_212,the-open-network,view,1,2025-04-03T18:38:46.380290
user_2120,kaspa,portfolio_add,1,2025-04-03T22:03:04.708521
user_361,cardano,favorite,1,2025-04-04T02:26:44.168101
user_1349,notcoin,view,1,2025-04-04T02:32:08.167896
user_3736,basic-attention-token,view,1,2025-04-04T06:25:40.164482
user_3966,binance-peg-sol,portfolio_add,1,2025-04-04T22:30:37.513640
user_3147,dogs-2,view,1,2025-04-04T22:58:07.638432
user_3139,cosmos,view,1,2025-04-04T23:35:28.059846
user_1685,the-open-network,view,1,2025-04-05T07:10:13.669064
user_26,platon-network,view,1,2025-04-05T09:50:56.024257
user_3749,dogs-2,view,1,2025-04-05T11:51:17.340204
user_3147,spiko-us-t-bills-money-market-fund,favorite,1,2025-04-05T11:56:33.638432
user_3749,the-open-network,favorite,1,2025-04-05T14:03:39.340204
user_1349,internet-computer,view,1,2025-04-05T14:44:36.167896
user_1349,cyberconnect,view,1,2025-04-05T14:53:35.167896
user_3815,notcoin,portfolio_add,1,2025-04-05T15:58:54.695026
user_1844,near,view,1,2025-04-05T17:54:20.388605
user_3139,waves,view,1,2025-04-05T21:21:59.059846
user_212,mantle-restaked-eth,favorite,1,2025-04-05T23:42:33.380290
user_1461,solana,favorite,1,2025-04-05T23:53:36.276570
user_2120,the-sandbox,view,1,2025-04-06T00:01:05.708521
user_26,gods-unchained,view,1,2025-04-06T00:03:09.024257
user_212,origintrail,view,1,2025-04-06T00:08:00.380290
user_3139,chainlink,favorite,1,2025-04-06T01:02:22.059846
user_2049,notcoin,favorite,1,2025-04-06T01:55:22.862978
user_26,gohome,view,1,2025-04-06T02:32:52.024257
user_1844,near,favorite,1,2025-04-06T03:37:07.388605
user_1461,chainlink,portfolio_add,1,2025-04-06T06:55:59.276570
user_3561,near,favorite,1,2025-04-06T09:35:08.895058
user_660,nem,portfolio_add,1,2025-04-06T10:28:12.146652
user_2120,internet-computer,view,1,2025-04-06T10:49:45.708521
user_4774,ondo-finance,portfolio_add,1,2025-04-06T11:14:31.200242
user_660,the-open-network,portfolio_add,1,2025-04-06T11:45:52.146652
user_4774,cosmos,favorite,1,2025-04-06T12:27:35.200242
user_2049,tron,view,1,2025-04-06T12:38:05.862978
user_4774,trinique,portfolio_add,1,2025-04-06T12:52:22.200242
user_3561,kinesis-gold,portfolio_add,1,2025-04-06T12:54:51.895058
user_1608,sweth,favorite,1,2025-04-06T13:00:08.971043
user_4774,bitget-token,portfolio_add,1,2025-04-06T14:08:55.200242
user_4774,the-open-network,favorite,1,2025-04-06T15:22:02.200242
user_2049,algorand,favorite,1,2025-04-06T15:34:01.862978
user_3561,waves,favorite,1,2025-04-06T15:36:10.895058
user_660,cosmos,favorite,1,2025-04-06T15:58:00.146652
user_212,bakerytoken,view,1,2025-04-06T17:07:17.380290
user_3139,weth,portfolio_add,1,2025-04-06T18:06:18.059846
user_679,ondo-finance,view,1,2025-04-06T19:23:49.392125
user_679,algorand,favorite,1,2025-04-06T19:54:07.392125
user_3966,apecoin,view,1,2025-04-06T22:32:10.513640
user_3535,solana,view,1,2025-04-07T09:05:52.253528
user_3688,cosmos,view,1,2025-04-07T11:09:57.448612
user_1349,notcoin,view,1,2025-04-07T12:42:27.167896
user_2120,notcoin,view,1,2025-04-07T17:44:39.708521
user_2153,algorand,view,1,2025-04-07T20:54:50.741884
user_3149,dogs-2,view,1,2025-04-07T21:43:05.820079
user_4558,memecoin-2,portfolio_add,1,2025-04-07T23:33:59.801034
user_3966,mag7-ssi,view,1,2025-04-08T00:06:21.513640
user_660,solana,view,1,2025-04-08T00:08:54.146652
user_1685,ether-fi,favorite,1,2025-04-08T00:17:54.669064
user_1815,pepe,view,1,2025-04-08T00:54:34.266373
user_1685,the-open-network,portfolio_add,1,2025-04-08T02:34:02.669064
user_4966,cosmos,portfolio_add,1,2025-04-08T10:09:43.980498
user_212,bakerytoken,view,1,2025-04-08T11:01:11.380290
user_4966,ondo-finance,view,1,2025-04-08T11:42:17.980498
user_1568,veraone,favorite,1,2025-04-08T13:07:22.424709
user_1349,pendle,favorite,1,2025-04-08T14:01:03.167896
user_3966,bio-protocol,favorite,1,2025-04-08T15:38:25.513640
user_1184,solana,favorite,1,2025-04-08T16:54:15.719803
user_3966,algorand,view,1,2025-04-08T17:43:11.513640
user_4966,vechain,view,1,2025-04-08T19:10:48.980498
user_1184,milk-alliance,favorite,1,2025-04-08T19:24:25.719803
user_1184,beam-2,view,1,2025-04-08T19:31:49.719803
user_1184,hive_dollar,favorite,1,2025-04-08T19:38:18.719803
user_1184,ski-mask-dog,view,1,2025-04-08T19:40:57.719803
user_1184,kaspa,view,1,2025-04-08T19:41:03.719803
user_1184,solana,view,1,2025-04-08T19:41:09.719803
user_1184,aave,view,1,2025-04-08T20:43:22.719803
user_3690,universal-eth,favorite,1,2025-04-08T21:10:52.575589
user_1184,cosmos,favorite,1,2025-04-08T21:41:51.719803
user_3690,ondo-finance,view,1,2025-04-08T21:54:15.575589
user_888,bridged-tether-opbnb,favorite,1,2025-04-08T22:04:19.620789
user_1184,origin-protocol,view,1,2025-04-08T22:06:50.719803
user_3690,waves,portfolio_add,1,2025-04-08T22:13:01.575589
user_1184,nexo,favorite,1,2025-04-08T22:18:07.719803
user_3690,solana,favorite,1,2025-04-08T22:26:46.575589
user_3690,waves,favorite,1,2025-04-08T22:36:29.575589
user_3535,diamond-launch,favorite,1,2025-04-08T22:50:06.253528
user_1184,blur,view,1,2025-04-08T23:24:12.719803
user_4966,pepe,view,1,2025-04-09T04:28:18.980498
user_1448,walrus-2,view,1,2025-04-09T06:16:48.510930
user_4966,tron,view,1,2025-04-09T07:20:50.980498
user_1272,aptos,portfolio_add,1,2025-04-09T10:38:59.224305
user_361,ondo-finance,view,1,2025-04-09T14:18:21.168101
user_925,algorand,view,1,2025-04-09T15:19:21.636232
user_4246,ethena-staked-usde,view,1,2025-04-09T16:20:00.230622
user_660,shuffle-2,portfolio_add,1,2025-04-09T16:54:04.146652
user_361,ondo-finance,favorite,1,2025-04-09T18:05:53.168101
user_2616,digibyte,portfolio_add,1,2025-04-09T18:58:25.397736
user_2120,pepe,view,1,2025-04-09T19:05:12.708521
user_3535,cosmos,view,1,2025-04-09T20:37:54.253528
user_3674,polygon-ecosystem-token,favorite,1,2025-04-09T21:28:32.593112
user_2616,prometeus,view,1,2025-04-09T21:47:56.397736
user_2616,marcopolo,portfolio_add,1,2025-04-09T22:11:28.397736
user_4690,solana,favorite,1,2025-04-09T22:13:07.283679
user_396,solana,favorite,1,2025-04-09T22:15:45.445149
user_396,autonomi,view,1,2025-04-09T22:31:02.445149
user_1844,cardano,favorite,1,2025-04-09T22:56:04.388605
user_396,autonomi,portfolio_add,1,2025-04-09T22:56:06.445149
user_4321,staked-frax-usd,view,1,2025-04-10T02:12:15.899719
user_1844,cosmos,favorite,1,2025-04-10T02:43:37.388605
user_1272,cardano,view,1,2025-04-10T02:49:28.224305
user_1272,cardano,favorite,1,2025-04-10T07:11:04.224305
user_2616,vechain,view,1,2025-04-10T08:21:57.397736
user_4558,the-open-network,view,1,2025-04-10T09:48:19.801034
user_2704,compound-usd-coin,view,1,2025-04-10T10:46:52.968850
user_1685,solana,view,1,2025-04-10T11:40:43.669064
user_3496,the-sandbox,view,1,2025-04-10T13:02:47.098713
user_1685,the-sandbox,favorite,1,2025-04-10T14:50:08.669064
user_1448,tron,portfolio_add,1,2025-04-10T14:55:30.510930
user_3966,compound-usd-coin,view,1,2025-04-10T16:51:44.513640
user_2681,beets-staked-sonic,view,1,2025-04-10T17:19:53.520574
user_1355,dai,view,1,2025-04-10T20:27:20.481846
user_2681,pepe,favorite,1,2025-04-10T20:28:12.520574
user_4321,cartesi,favorite,1,2025-04-10T20:29:45.899719
user_4290,coinex-token,portfolio_add,1,2025-04-10T21:12:08.784925
user_1355,iagon,portfolio_add,1,2025-04-10T21:19:30.481846
user_2404,raydium,view,1,2025-04-10T22:14:23.638033
user_2883,benqi-liquid-staked-avax,favorite,1,2025-04-10T22:17:21.423624
user_1815,threshold-network-token,view,1,2025-04-10T22:39:01.266373
user_1568,polygon-ecosystem-token,view,1,2025-04-10T22:41:21.424709
user_4290,aave,favorite,1,2025-04-10T23:12:27.784925
user_1355,chainlink,portfolio_add,1,2025-04-10T23:33:42.481846
user_3147,deso,view,1,2025-04-11T00:05:01.638432
user_2120,chainlink,view,1,2025-04-11T00:45:29.708521
user_2404,apollo-diversified-credit-securitize-fund,view,1,2025-04-11T01:00:16.638033
user_2883,starknet,favorite,1,2025-04-11T01:08:01.423624
user_3535,notcoin,view,1,2025-04-11T01:13:05.253528
user_2259,avalanche-old-bridged-wbtc-avalanche,view,1,2025-04-11T01:39:02.982848
user_2681,l2-standard-bridged-frxusd,favorite,1,2025-04-11T01:55:48.520574
user_4290,notcoin,view,1,2025-04-11T01:57:49.784925
user_3217,cardano,favorite,1,2025-04-11T02:05:11.950261
user_1448,supra,view,1,2025-04-11T02:07:44.510930
user_2883,ethena-usde,portfolio_add,1,2025-04-11T02:14:55.423624
user_2404,tdccp,favorite,1,2025-04-11T02:53:20.638033
user_2681,tron,favorite,1,2025-04-11T05:47:46.520574
user_1448,moonwell-flagship-eth-morpho-vault,portfolio_add,1,2025-04-11T08:30:50.510930
