id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,query_category
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,95574.0,1898107671782,1,1898107671782.0,13612118780.0,96410.0,95324.0,-807.3341215350229,-0.83764,-15689229446.69629,-0.8198,19860090.0,19860090.0,21000000.0,108786.0,-12.14459,2025-01-20T09:11:54.494Z,67.81,140845.84982,2013-07-06T00:00:00.000Z,,2025-05-04T20:00:43.371Z,0.1626728348395594,-0.8376431535613932,13.939659239124744,1.336649189931045,top
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1828.67,220778880862,2,220778880862.0,6986581143.0,1847.56,1823.23,-9.904023888025904,-0.53868,-1201580271.542572,-0.5413,120732619.9969619,120732619.9969619,,4878.26,-62.51408,2021-11-10T14:24:19.604Z,0.432979,422244.13868,2015-10-20T00:00:00.000Z,"{'times': 24.576164604084887, 'currency': 'btc', 'percentage': 2457.616460408489}",2025-05-04T20:00:43.196Z,0.09279495607450661,-0.538680061064587,1.3024587138162813,1.3392908778758912,top
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,149375131886,3,149375131886.0,25038662851.0,1.0,1.0,-0.00013012047714378,-0.01301,150548832.0,0.10089,149354155091.778,149354155091.778,,1.32,-24.40951,2018-07-24T00:00:00.000Z,0.572521,74.68954,2015-03-02T00:00:00.000Z,,2025-05-04T20:00:36.960Z,0.003259224199757831,-0.01300852248236763,0.05334847263824854,-0.017283391072807543,top
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.18,127305033032,4,217572185616.0,1181821486.0,2.21,2.17,-0.017519410036667793,-0.79867,-1104447396.9649353,-0.8601,58503545101.0,99986181777.0,100000000000.0,3.4,-35.97015,2018-01-07T00:00:00.000Z,0.00268621,80907.2648,2014-05-22T00:00:00.000Z,,2025-05-04T20:00:43.275Z,0.22787248205356922,-0.7986709672984174,2.5879550824021846,-3.124377893877209,top
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,588.56,85862854758,5,85862854758.0,511499656.0,600.27,586.98,-11.438260527619263,-1.90639,-1666111488.8598785,-1.9035,145887575.79,145887575.79,200000000.0,788.84,-25.39018,2024-12-04T10:35:25.220Z,0.0398177,1478023.67341,2017-10-19T00:00:00.000Z,,2025-05-04T20:00:42.684Z,0.0924682342730682,-1.9063936312353307,-1.3229723352777414,-2.421813366292836,top
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,146.27,75845864317,6,87828572761.0,1681243350.0,147.76,144.88,-1.233212275350752,-0.83606,-544121736.8070984,-0.71229,518193768.2350994,600061974.2084329,,293.31,-50.02894,2025-01-19T11:15:27.957Z,0.500801,29167.31831,2020-05-11T19:35:23.449Z,,2025-05-04T20:00:43.181Z,-0.3598136288770927,-0.8360575905741239,20.11708502148486,-2.4247567938599026,top
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999978,61519394287,7,61519217912.0,5410553494.0,1.0,0.999888,-1.1533643790029e-05,-0.00115,5196953.0,0.00845,61519588341.00764,61519411965.4003,,1.17,-14.72717,2019-05-08T00:40:28.300Z,0.877647,13.94104,2023-03-11T08:02:13.981Z,,2025-05-04T20:00:43.098Z,-0.0017993017721129754,-0.00115337646531365,0.0026422284797467995,0.0008875671588042018,top
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.172145,25658094837,8,25671429204.0,587826476.0,0.177521,0.171653,-0.005375787106946667,-3.02825,-801437969.6435242,-3.02892,149049146383.7052,149126606383.7052,,0.731578,-76.46933,2021-05-08T05:08:23.458Z,8.69e-05,197987.17546,2015-05-06T00:00:00.000Z,,2025-05-04T20:00:42.535Z,0.15786189112060542,-3.0282532942699656,1.4119051178563249,-4.845715450369769,top
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.685775,24716146707,9,30859798582.0,642733864.0,0.714449,0.682245,-0.02732102426255345,-3.83132,-994695381.6651497,-3.86878,36041278715.38476,45000000000.0,45000000000.0,3.09,-77.78494,2021-09-02T06:00:10.474Z,0.01925275,3461.87621,2020-03-13T02:22:55.044Z,,2025-05-04T20:00:42.813Z,0.352332927933797,-3.831322185703841,4.074853626131047,-2.942860989559995,top
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.247988,23540315234,10,23540314921.0,387496473.0,0.248805,0.245223,0.00215693,0.8774,204933849.0,0.87821,94925133019.72087,94925131754.80537,,0.431288,-42.5006,2024-12-04T00:10:40.323Z,0.00180434,13643.97288,2017-11-12T00:00:00.000Z,"{'times': 129.51991379474268, 'currency': 'usd', 'percentage': 12951.991379474268}",2025-05-04T20:00:42.559Z,0.061294777000354114,0.8774043713400875,3.432782045221964,-0.10138184253613666,top
