id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,query_category
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,105196.0,2090991556049,1,2090991556049.0,34834360959.0,107644.0,103630.0,-2399.9930720916454,-2.23055,-47761393172.23926,-2.23314,19878000.0,19878000.0,21000000.0,111814.0,-5.95634,2025-05-22T18:41:28.492Z,67.81,154974.00318,2013-07-06T00:00:00.000Z,,2025-06-18T03:56:41.586Z,0.25864869289864145,-2.2305547646392614,0.3410418421371905,-4.079312100667433,top
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2527.9,305227147306,2,305227147306.0,21421101466.0,2607.4,2464.15,-78.79420062620238,-3.02277,-9720615960.27832,-3.08642,120720627.9997959,120720627.9997959,,4878.26,-48.15153,2021-11-10T14:24:19.604Z,0.432979,584063.29963,2015-10-20T00:00:00.000Z,"{'times': 31.12324824398203, 'currency': 'btc', 'percentage': 3112.324824398203}",2025-06-18T03:56:40.784Z,0.325771880551386,-3.022769029692798,4.953191058776596,-9.031677104612962,top
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,155489652145,3,155489652145.0,29044714709.0,1.0,0.999999,-6.7462633944526e-05,-0.00675,-16116295.63079834,-0.01036,155476225902.8168,155476225902.8168,,1.32,-24.41585,2018-07-24T00:00:00.000Z,0.572521,74.67489,2015-03-02T00:00:00.000Z,,2025-06-18T03:56:36.785Z,0.002410199327867885,-0.00674522577444936,-4.584712301188988e-07,0.0016449575135201269,top
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.17,127704998915,4,216853503454.0,2828930517.0,2.25,2.15,-0.08071435792168469,-3.58886,-4812312244.017624,-3.63146,58881764070.0,99986037638.0,100000000000.0,3.4,-36.19068,2018-01-07T00:00:00.000Z,0.00268621,80628.25328,2014-05-22T00:00:00.000Z,,2025-06-18T03:56:40.694Z,0.3387106007608407,-3.588858356422073,-8.919393304100588,-5.165850342358514,top
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,652.28,95160814003,5,95160814003.0,878914741.0,658.56,641.0,-4.267089480881168,-0.64993,-543453831.1365051,-0.56785,145887575.79,145887575.79,200000000.0,788.84,-17.24867,2024-12-04T10:35:25.220Z,0.0398177,1639318.16806,2017-10-19T00:00:00.000Z,,2025-06-18T03:56:39.888Z,-0.04888143517631032,-0.6499314023753618,1.4647091345484635,-2.4975602123353875,top
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,148.4,78339172586,6,89531421525.0,4303193209.0,154.02,146.0,-4.917501523810984,-3.20734,-2608980320.493805,-3.22303,527872102.342921,603288727.0310498,,293.31,-49.44081,2025-01-19T11:15:27.957Z,0.500801,29511.77883,2020-05-11T19:35:23.449Z,,2025-06-18T03:56:40.275Z,0.38810792340122957,-3.207337142104932,-11.234412780446611,-9.624131028013677,top
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999763,61519613349,7,61519663475.0,9988514856.0,0.999826,0.999702,5.45e-06,0.00054,-102336511.66783905,-0.16607,61534326102.70625,61534376240.49264,,1.17,-14.7524,2019-05-08T00:40:28.300Z,0.877647,13.90733,2023-03-11T08:02:13.981Z,,2025-06-18T03:56:36.029Z,0.002076140036117886,0.0005449308486219675,-0.00765568576206058,-0.0019152652909337614,top
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.273811,25964275732,8,25964275395.0,808412788.0,0.279494,0.271463,-0.002435372806813885,-0.8816,-235674020.18291855,-0.89952,94830250691.0277,94830249460.51572,,0.431288,-36.51248,2024-12-04T00:10:40.323Z,0.00180434,15075.30046,2017-11-12T00:00:00.000Z,"{'times': 143.11079726290328, 'currency': 'usd', 'percentage': 14311.079726290327}",2025-06-18T03:56:40.955Z,-0.05295668912226215,-0.8815960403669297,4.0787915616155335,-5.769315894323975,top
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.170752,25567848997,9,25573905499.0,1031139516.0,0.17527,0.164999,-0.004433686455609542,-2.53085,-662870406.1147194,-2.52708,149696286383.7052,149731746383.7052,,0.731578,-76.64597,2021-05-08T05:08:23.458Z,8.69e-05,196500.2388,2015-05-06T00:00:00.000Z,,2025-06-18T03:56:40.572Z,0.42694611272862654,-2.530850198449173,-23.62869638291309,-12.67476500424833,top
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2526.94,23044508634,10,23044781185.0,13864144.0,2607.35,2459.71,-78.91668242094192,-3.02843,-690986211.6371574,-2.91119,9117030.005173108,9117137.833622439,,4829.57,-47.64819,2021-11-10T14:40:47.256Z,482.9,423.58408,2020-12-22T04:08:21.854Z,,2025-06-18T03:56:35.008Z,0.40699256772535397,-3.028434516291054,5.270210630112531,-9.022702411258345,top
