id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,query_category
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,100618.0,2002441069380,1,2002441069380.0,39412704168.0,102401.0,98467.0,1794.03,1.81538,37383405551.0,1.90241,19882603.0,19882603.0,21000000.0,111814.0,-9.64284,2025-05-22T18:41:28.492Z,67.81,148895.13104,2013-07-06T00:00:00.000Z,,2025-06-23T16:29:43.154Z,-1.0830497159892007,1.815379713071182,-7.628942311244394,-6.42532018924489,top
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2217.59,267530995671,2,267530995671.0,19241758973.0,2302.36,2134.88,36.38,1.66794,4175692188.0,1.58557,120719795.194195,120719795.194195,,4878.26,-54.20614,2021-11-10T14:24:19.604Z,0.432979,515847.57896,2015-10-20T00:00:00.000Z,"{'times': 28.511116077966896, 'currency': 'btc', 'percentage': 2851.1116077966894}",2025-06-23T16:29:44.047Z,-2.6218747494797014,1.6679385653532492,-13.188157333025586,-15.930384745564114,top
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,156020954626,3,156020954626.0,69730811091.0,1.0,1.0,0.00026547,0.02655,216527701.0,0.13897,155965542177.1162,155965542177.1162,,1.32,-24.3933,2018-07-24T00:00:00.000Z,0.572521,74.72698,2015-03-02T00:00:00.000Z,,2025-06-23T16:29:43.640Z,0.0031608587903211335,0.026545200902093547,0.010160419263098781,0.015212459038983175,top
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.99,117087812409,4,198632698474.0,3691380940.0,2.03,1.92,0.04772234,2.46293,2949316067.0,2.58398,58938652386.0,99986013292.0,100000000000.0,3.4,-41.32062,2018-01-07T00:00:00.000Z,0.00268621,74138.1238,2014-05-22T00:00:00.000Z,,2025-06-23T16:29:43.157Z,-1.6716949954776121,2.4629308033418176,-15.56558422652716,-13.307657543970148,top
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,622.85,90883722426,5,90883722426.0,945222837.0,625.78,602.75,15.57,2.56375,2178038266.0,2.45535,145887575.79,145887575.79,200000000.0,788.84,-20.96886,2024-12-04T10:35:25.220Z,0.0398177,1565616.03002,2017-10-19T00:00:00.000Z,,2025-06-23T16:29:43.727Z,0.11137677993937788,2.5637489882398707,-7.530061411836374,-5.339072386483667,top
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,132.07,70255151487,6,79845922751.0,5033923669.0,136.61,127.01,3.47,2.69689,1926343540.0,2.81923,531208783.9799433,603725913.7894114,,293.31,-54.83553,2025-01-19T11:15:27.957Z,0.500801,26352.17302,2020-05-11T19:35:23.449Z,,2025-06-23T16:29:43.655Z,-1.9208295956455037,2.696890626120096,-25.027793549005878,-15.764438542286522,top
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999904,61290853250,7,61291217193.0,7323816646.0,0.999911,0.999703,0.00010286,0.01029,37563099.0,0.06132,61296716326.64929,61297080304.56487,,1.17,-14.73515,2019-05-08T00:40:28.300Z,0.877647,13.93038,2023-03-11T08:02:13.981Z,,2025-06-23T16:29:44.346Z,0.0037491774784809175,0.010288229886126973,0.013819073302911922,0.01073541049666343,top
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.269467,25550296376,8,25550368645.0,1116676358.0,0.272097,0.259457,0.00351637,1.32219,333670890.0,1.32322,94814936938.66963,94815205121.84695,,0.431288,-37.35245,2024-12-04T00:10:40.323Z,0.00180434,14874.52574,2017-11-12T00:00:00.000Z,"{'times': 140.824690381497, 'currency': 'usd', 'percentage': 14082.4690381497}",2025-06-23T16:29:43.507Z,-0.7823809517203208,1.3221899567427582,-0.6716486006024872,-4.380061179701801,top
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.150147,22527889673,9,22527987420.0,1503854699.0,0.156052,0.144442,0.00383451,2.62077,622648596.0,2.84246,149806446383.7052,149807096383.7052,,0.731578,-79.25998,2021-05-08T05:08:23.458Z,8.69e-05,174494.77696,2015-05-06T00:00:00.000Z,,2025-06-23T16:29:43.366Z,-2.6786888799074333,2.6207654082402154,-34.04241948194608,-15.56389219689452,top
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2211.59,20314993590,10,20314993590.0,20238255.0,2302.12,2130.84,31.31,1.43587,342678152.0,1.71577,9159267.354917385,9159267.354917385,,4829.57,-53.85852,2021-11-10T14:40:47.256Z,482.9,361.47298,2020-12-22T04:08:21.854Z,,2025-06-23T16:29:42.907Z,-2.6282563919042734,1.4358652343207812,-13.353739605049997,-16.029767754330877,top
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.534926,19323930542,11,24075959183.0,744894354.0,0.553888,0.513977,0.01230687,2.35484,470907984.0,2.49779,36118057345.18658,45000000000.0,45000000000.0,3.09,-82.53464,2021-09-02T06:00:10.474Z,0.01925275,2700.3283,2020-03-13T02:22:55.044Z,,2025-06-23T16:29:43.843Z,-2.2525937516857204,2.3548433449317163,-29.428710262604486,-17.72326290326677,top
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,100647.0,12986278591,12,12986278591.0,317064379.0,102283.0,98441.0,1880.15,1.90363,244889818.0,1.922,128850.89873878,128850.89873878,128850.89873878,111685.0,-9.54249,2025-05-22T18:56:49.172Z,3139.17,3118.29287,2019-04-02T00:00:00.000Z,,2025-06-23T16:29:43.250Z,-1.0426643356443877,1.9036252426237754,-7.3941380348641825,-6.378650973085802,top
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,33.47,11180761095,13,33482210632.0,415202759.0,36.52,32.49,0.846151,2.59348,265876245.0,2.43591,333928180.0,999990391.0,1000000000.0,45.57,-26.06513,2025-06-16T14:36:35.939Z,3.81,784.53707,2024-11-29T09:30:30.871Z,,2025-06-23T16:29:43.032Z,-4.564040631369895,2.593475816037545,-3.0253731008249938,-25.33128027994443,top
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,2677.92,9509359599,14,9509359599.0,15528185.0,2774.22,2564.89,52.06,1.9826,190895464.0,2.04857,3551009.436157389,3551009.436157389,,7256.02,-62.80725,2022-05-13T15:09:54.509Z,558.54,383.1728,2022-05-13T01:36:45.053Z,,2025-06-23T16:29:43.142Z,-2.550786455923647,1.9826006016335334,-12.958036044920874,-15.794446697797278,top
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,442.13,8795585516,15,8795585516.0,368400433.0,457.93,438.49,-2.2301189824863172,-0.50188,-44320668.02653694,-0.50137,19887756.14665078,19887756.14665078,21000000.0,3785.82,-88.26909,2017-12-20T00:00:00.000Z,76.93,477.25674,2018-12-16T00:00:00.000Z,,2025-06-23T16:29:43.679Z,-0.776522386175185,-0.5018770504425198,3.4891003938861633,-5.3054382917039105,top
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.05,8357423261,16,8919151814.0,4477439.0,9.13,8.96,0.075271,0.8384,68940908.0,0.83177,923189078.9,985239504.0,,10.14,-10.68101,2025-03-10T09:26:43.294Z,0.799859,1031.77139,2019-12-24T15:14:35.376Z,,2025-06-23T16:29:43.041Z,0.05267072649941118,0.8383976328161818,2.772271339240937,-2.2239655706440455,top
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,2.43,8278751026,17,24373130915.0,1120995896.0,2.57,2.31,0.03354227,1.40213,135673366.0,1.66612,3396671135.364443,10000000000.0,10000000000.0,5.35,-54.29628,2025-01-04T22:56:18.063Z,0.364846,569.75608,2023-10-19T10:40:30.078Z,,2025-06-23T16:29:43.726Z,-3.2616913585690765,1.4021274830955555,-33.169174680059264,-22.06551164373894,top
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,11.59,7860210640,18,11591521874.0,474158082.0,12.03,11.02,0.203442,1.78694,137256085.0,1.77725,678099970.4527868,1000000000.0,1000000000.0,52.7,-77.86513,2021-05-10T00:13:57.214Z,0.148183,7771.5579,2017-11-29T00:00:00.000Z,,2025-06-23T16:29:43.468Z,-2.4484265819969346,1.7869439709442894,-25.91725689324101,-16.099573860474276,top
