id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,query_category
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,101786.0,2023587645654,1,2023587645654.0,39952501910.0,102401.0,98467.0,2305.67,2.31771,38446684955.0,1.93672,19882568.0,19882568.0,21000000.0,111814.0,-8.95159,2025-05-22T18:41:28.492Z,67.81,150034.96641,2013-07-06T00:00:00.000Z,,2025-06-23T14:46:46.390Z,0.005198744231453728,2.317710941048397,-6.36565670944506,-4.900722997681996,top
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2283.66,275363931073,2,275363931073.0,19399828234.0,2302.36,2134.88,95.43,4.36128,11946751020.0,4.5353,120719795.194195,120719795.194195,,4878.26,-53.16842,2021-11-10T14:24:19.604Z,0.432979,527539.24286,2015-10-20T00:00:00.000Z,"{'times': 28.97570550673724, 'currency': 'btc', 'percentage': 2897.570550673724}",2025-06-23T14:46:46.452Z,0.3203254012050319,4.361277768377849,-10.565154485352414,-13.334786263866391,top
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,156022463209,3,156022463209.0,42474792815.0,1.0,1.0,0.00014148,0.01414,192886691.0,0.12378,155965542177.1162,155965542177.1162,,1.32,-24.39418,2018-07-24T00:00:00.000Z,0.572521,74.72495,2015-03-02T00:00:00.000Z,,2025-06-23T14:46:43.415Z,0.007423568036361086,0.014144713739597243,0.012705108113501035,0.02742473908997803,top
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.02,118989072995,4,201858077042.0,3559715716.0,2.03,1.92,0.078538,4.04348,4598711394.0,4.02019,58938652386.0,99986013292.0,100000000000.0,3.4,-40.55678,2018-01-07T00:00:00.000Z,0.00268621,75104.49523,2014-05-22T00:00:00.000Z,,2025-06-23T14:46:46.363Z,0.011837037694207306,4.043481738868611,-14.091868848163905,-10.474076870938166,top
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,622.95,90868643673,5,90868643673.0,706554961.0,625.78,602.75,10.81,1.76599,1546261435.0,1.7311,145887575.79,145887575.79,200000000.0,788.84,-21.01164,2024-12-04T10:35:25.220Z,0.0398177,1564768.57664,2017-10-19T00:00:00.000Z,,2025-06-23T14:46:46.003Z,0.38010496655160125,1.765987113092593,-7.516810111192042,-5.162294124289925,top
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,135.26,71775762397,6,81574085084.0,5123204820.0,136.61,127.01,6.58,5.1128,3646765970.0,5.35274,531209029.5271631,603725953.227989,,293.31,-53.90147,2025-01-19T11:15:27.957Z,0.500801,26899.23829,2020-05-11T19:35:23.449Z,,2025-06-23T14:46:45.394Z,0.14227108402764782,5.112799392161402,-23.200092590951627,-13.496861832682194,top
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999905,61275762875,7,61275762875.0,5667821949.0,0.999905,0.999703,0.0001286,0.01286,35646006.0,0.05821,61281581302.62038,61281581302.62038,,1.17,-14.73534,2019-05-08T00:40:28.300Z,0.877647,13.93012,2023-03-11T08:02:13.981Z,,2025-06-23T14:46:41.415Z,0.0020596578960985702,0.0128632926234918,0.009943882169354941,0.009961895932795058,top
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.271962,25790223710,8,25790216063.0,1165023122.0,0.272033,0.259457,0.00541631,2.03204,575070452.0,2.28065,94815557354.11014,94815529240.39792,,0.431288,-36.92865,2024-12-04T00:10:40.323Z,0.00180434,14975.82543,2017-11-12T00:00:00.000Z,"{'times': 142.13783428821895, 'currency': 'usd', 'percentage': 14213.783428821895}",2025-06-23T14:46:46.532Z,0.6688943151125841,2.032040253540237,-0.048828919874471896,-2.309627127191174,top
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.154311,23107586250,9,23107598590.0,1661301379.0,0.156052,0.144442,0.00683212,4.63262,1103746834.0,5.01616,149806446383.7052,149806526383.7052,,0.731578,-78.88006,2021-05-08T05:08:23.458Z,8.69e-05,177693.05629,2015-05-06T00:00:00.000Z,,2025-06-23T14:46:45.723Z,-0.24036498610796564,4.6326180501802074,-32.328067610209494,-13.098876540557667,top
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2281.04,20875175569,10,20875183902.0,22024462.0,2302.12,2130.84,100.59,4.61345,924430356.0,4.63356,9159221.073155232,9159224.729575388,,4829.57,-52.83102,2021-11-10T14:40:47.256Z,482.9,371.74921,2020-12-22T04:08:21.854Z,,2025-06-23T14:46:40.753Z,-0.01015903959287531,4.61344601627553,-10.628761787215755,-13.462673336039838,top
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.549233,19822134072,11,24701862771.0,797145821.0,0.553888,0.513977,0.02312236,4.39496,871416901.0,4.59833,36110476425.40252,45000000000.0,45000000000.0,3.09,-82.19082,2021-09-02T06:00:10.474Z,0.01925275,2755.45568,2020-03-13T02:22:55.044Z,,2025-06-23T14:46:45.904Z,0.04727991025585877,4.394959121163793,-27.63145282576608,-15.223683333171511,top
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,101739.0,13108213535,12,13108213535.0,331169822.0,102283.0,98441.0,2313.48,2.32684,283120317.0,2.20755,128850.89873878,128850.89873878,128850.89873878,111685.0,-8.89547,2025-05-22T18:56:49.172Z,3139.17,3141.31223,2019-04-02T00:00:00.000Z,,2025-06-23T14:46:47.312Z,-0.018667785746245173,2.3268445709466428,-6.244839906917243,-4.8743028838033515,top
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,35.54,11866147315,13,35534686811.0,418509269.0,36.52,32.49,2.73,8.33195,985042551.0,9.05278,333928180.0,999990391.0,1000000000.0,45.57,-20.48879,2025-06-16T14:36:35.939Z,3.81,851.25099,2024-11-29T09:30:30.871Z,,2025-06-23T14:46:46.312Z,-0.8937251380358486,8.331950259304739,2.3733561416180486,-20.284741539364074,top
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,2755.83,9779656325,14,9779656325.0,18657706.0,2774.22,2564.89,113.35,4.28949,483677067.0,5.20308,3550979.520004939,3550979.520004939,,7256.02,-62.04674,2022-05-13T15:09:54.509Z,558.54,393.05256,2022-05-13T01:36:45.053Z,,2025-06-23T14:46:49.412Z,-0.2595079401760592,4.289487823591343,-10.342776578522383,-12.905145963391472,top
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,451.76,8983867789,15,8983874847.0,456476827.0,457.93,438.49,0.879133,0.19498,22669187.0,0.25297,19887731.14665078,19887746.77165078,21000000.0,3785.82,-88.053,2017-12-20T00:00:00.000Z,76.93,487.88971,2018-12-16T00:00:00.000Z,,2025-06-23T14:46:46.349Z,-0.5666898383687385,0.19498237704157534,5.6179529259626,-3.1504267655702565,top
