id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,query_category
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,105090.0,2090817493236,1,2090818860286.0,49840337947.0,105927.0,100177.0,3787.28,3.73858,82189473779.0,4.09182,19882687.0,19882700.0,21000000.0,111814.0,-5.89556,2025-05-22T18:41:28.492Z,67.81,155074.22531,2013-07-06T00:00:00.000Z,,2025-06-24T00:49:48.864Z,-0.37696789734694247,3.73857668825713,-2.531052028479405,-1.6398434550179493,top
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2403.41,290266615646,2,290266615646.0,25595941273.0,2425.48,2206.39,150.97,6.70241,19704571268.0,7.28283,120719795.194195,120719795.194195,,4878.26,-50.67717,2021-11-10T14:24:19.604Z,0.432979,555607.51494,2015-10-20T00:00:00.000Z,"{'times': 29.567712082159236, 'currency': 'btc', 'percentage': 2956.7712082159237}",2025-06-24T00:49:48.803Z,-0.9100164538372297,6.702410309643151,-4.994861584804003,-5.678424468807689,top
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.001,156063844932,3,156063844932.0,54762965905.0,1.001,1.0,0.00041356,0.04135,230353863.0,0.14782,155965542177.1162,155965542177.1162,,1.32,-24.37138,2018-07-24T00:00:00.000Z,0.572521,74.77765,2015-03-02T00:00:00.000Z,,2025-06-24T00:49:48.575Z,-0.004144299791493509,0.04134684680756249,0.04204728079433888,0.02526126250352177,top
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.15,126872449775,4,215231769577.0,4041959523.0,2.17,1.97,0.122264,6.02129,7584505750.0,6.35815,58938652386.0,99986013292.0,100000000000.0,3.4,-36.78626,2018-01-07T00:00:00.000Z,0.00268621,79874.76538,2014-05-22T00:00:00.000Z,,2025-06-24T00:49:49.315Z,-0.4304123076357071,6.021285045581933,-7.668951626393955,-4.055859230667604,top
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,640.12,93400985246,5,93400985246.0,1018853148.0,643.42,616.09,22.53,3.64753,3386465569.0,3.76213,145887575.79,145887575.79,200000000.0,788.84,-18.82853,2024-12-04T10:35:25.220Z,0.0398177,1608019.05455,2017-10-19T00:00:00.000Z,,2025-06-24T00:49:48.692Z,-0.04724864849567956,3.64752774712573,-4.184502556783532,-1.6145473954794394,top
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,143.77,76385725446,6,86813405193.0,6775004813.0,146.4,131.53,10.75,8.07826,5849253788.0,8.29252,531208471.3123383,603725578.209084,,293.31,-50.95436,2025-01-19T11:15:27.957Z,0.500801,28625.31764,2020-05-11T19:35:23.449Z,,2025-06-24T00:49:49.120Z,-0.7203925912776038,8.078263623035479,-18.332970013229506,-4.740550580530045,top
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.9999,61584410517,7,61754249065.0,9263387079.0,0.999917,0.999703,0.00019681,0.01969,334453440.0,0.54605,61590534321.87714,61760389758.28455,,1.17,-14.73551,2019-05-08T00:40:28.300Z,0.877647,13.92989,2023-03-11T08:02:13.981Z,,2025-06-24T00:49:51.068Z,0.0032258769550777278,0.019687117649660083,0.01036784839753364,0.019646281235916573,top
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.273737,25951803876,8,25951826194.0,1006119974.0,0.273706,0.264024,0.00946583,3.58187,929353723.0,3.71408,94814377302.78596,94814458840.96794,,0.431288,-36.57736,2024-12-04T00:10:40.323Z,0.00180434,15059.79407,2017-11-12T00:00:00.000Z,"{'times': 143.0718563888239, 'currency': 'usd', 'percentage': 14307.185638882389}",2025-06-24T00:49:48.909Z,0.2624762290768748,3.581868679836127,1.2260291320962202,-0.3881594014351916,top
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.163047,24444825524,9,24445765418.0,1475730815.0,0.164814,0.149564,0.01063649,6.97886,1675604649.0,7.35908,149806446383.7052,149812206383.7052,,0.731578,-77.69634,2021-05-08T05:08:23.458Z,8.69e-05,187657.9153,2015-05-06T00:00:00.000Z,,2025-06-24T00:49:48.357Z,-0.9563829906630329,6.978863863420878,-27.617995960476666,-5.869506686092998,top
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2400.85,22004968760,10,22005004751.0,28198545.0,2426.55,2196.78,149.92,6.6604,1420139424.0,6.89896,9160068.933252223,9160083.915272838,,4829.57,-50.21407,2021-11-10T14:40:47.256Z,482.9,397.92201,2020-12-22T04:08:21.854Z,,2025-06-24T00:49:58.034Z,-1.0294086612569002,6.660402344476132,-4.924025007261333,-5.761009162160774,top
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.579677,20951541119,11,26103822289.0,938731354.0,0.584016,0.531504,0.03431178,6.29152,1292879695.0,6.57664,36118057345.18658,45000000000.0,45000000000.0,3.09,-81.20183,2021-09-02T06:00:10.474Z,0.01925275,2914.02636,2020-03-13T02:22:55.044Z,,2025-06-24T00:49:49.416Z,-0.560794714840633,6.291520873713163,-22.31146829733221,-8.286540610734953,top
